system:index,NAME,count,imageId,.geo
2001_03_01_00000000000000000009,Vermont,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_0000000000000000000a,Connecticut,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000025,Maine,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000033,Massachusetts,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_0000000000000000000e,New Jersey,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000012,Pennsylvania,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000026,New York,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000002,Illinois,175,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_0000000000000000000f,Wisconsin,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000018,Ohio,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_0000000000000000002a,Michigan,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000030,Indiana,81,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
